livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,totalRent
2,47.0,2,2.0,2.0,1964.0,4,0,345.0
5,115.37,3,3.0,9.0,2019.0,8,0,1614.0
6,121.0,4,4.0,8.0,2015.0,8,1,1633.5
5,119.86,4,4.0,9.0,2018.0,13,0,1500.0
4,93.0,1,1.5,6.0,2002.0,13,1,1645.0
3,65.0,2,2.0,3.0,1978.0,7,0,770.0
4,81.81,3,3.0,9.0,2019.0,3,0,999.0
1,32.0,1,1.0,5.0,1999.0,4,1,226.0
3,72.0,3,3.0,1.0,1900.0,12,1,1015.0
3,77.28,3,3.0,6.0,2004.0,2,0,400.0
3,67.57,2,2.0,3.0,1975.0,8,0,546.65
3,76.11,4,4.0,3.0,1978.0,3,0,491.0
3,68.21,2,2.0,3.0,1977.0,8,1,910.08
3,75.74,3,3.0,3.0,1974.0,8,1,633.0
4,88.0,3,3.5,1.0,1930.0,8,1,650.0
2,49.02,1,1.0,5.0,1995.0,1,0,349.0
1,37.27,1,1.0,9.0,2018.0,14,1,1415.0
3,64.88,3,3.0,2.0,1958.0,8,0,630.0
2,60.0,2,2.0,3.0,1971.0,12,1,605.0
5,112.2,4,4.0,1.0,1910.0,1,0,760.0
2,58.0,2,2.0,2.0,1970.0,8,0,395.0
6,132.08,3,3.0,1.0,1900.0,4,1,1410.0
6,135.0,4,4.5,5.0,1991.0,11,0,1170.0
1,40.72,1,1.0,1.0,1950.0,1,1,362.0
6,125.0,3,3.5,9.0,2019.0,12,0,1800.0
3,80.0,3,3.0,1.0,1900.0,4,0,540.0
3,72.24,4,4.0,2.0,1962.0,4,1,685.0
3,67.0,3,3.0,1.0,1906.0,9,0,510.0
2,59.59,2,2.0,1.0,1900.0,4,1,480.0
3,74.0,3,3.0,5.0,1995.0,4,0,485.0
3,63.5,2,2.0,4.0,1982.0,4,0,524.0
2,50.0,2,2.0,1.0,1940.0,13,0,480.0
5,106.0,3,3.0,8.0,2013.0,14,0,1200.0
4,94.0,3,3.0,1.0,1900.0,11,0,1258.0
2,44.5,2,2.0,2.0,1954.0,12,0,720.0
2,52.0,1,1.0,9.0,2016.0,5,0,695.0
3,79.0,3,3.0,1.0,1910.0,8,1,825.0
2,47.33,2,2.0,3.0,1974.0,7,0,457.0
2,56.0,2,2.0,9.0,2016.0,14,1,1000.0
3,68.46,2,2.0,5.0,1998.0,5,1,1169.0
4,100.1,3,3.0,9.0,2018.0,4,1,1428.0
4,83.0,3,3.0,5.0,1996.0,4,1,916.0
4,86.0,4,4.0,5.0,1995.0,8,1,875.0
7,161.0,4,4.0,5.0,1997.0,5,1,1830.0
1,40.0,1,1.0,5.0,1997.0,7,0,360.0
3,70.02,3,3.0,4.0,1981.0,1,1,507.65
2,60.0,3,3.0,2.0,1967.0,4,0,407.0
5,110.0,2,2.5,4.0,1990.0,8,0,890.0
5,120.0,3,3.5,9.0,2016.0,14,0,1200.0
5,107.0,4,4.0,9.0,2019.0,4,1,1373.0
2,47.0,2,2.0,2.0,1953.0,1,1,445.66
6,131.5,4,4.5,5.0,1992.0,13,0,1540.0
2,50.32,2,2.0,1.0,1932.0,8,1,436.92
2,60.0,2,2.0,1.0,1925.0,1,0,529.0
3,78.59,3,3.0,7.0,2007.0,8,1,770.0
5,102.0,3,3.5,7.0,2008.0,14,1,2800.0
2,55.5,2,2.0,1.0,1930.0,4,1,560.0
4,92.65,3,3.5,2.0,1970.0,14,0,515.0
4,81.0,3,3.0,3.0,1978.0,8,0,725.0
2,41.33,2,2.0,4.0,1984.0,8,1,1200.0
2,54.17,2,2.0,4.0,1988.0,5,0,422.31
3,79.5,2,2.0,9.0,2019.0,11,0,830.0
4,91.62,3,3.0,9.0,2019.0,15,1,1689.97
2,57.0,2,2.0,2.0,1952.0,12,1,1096.0
2,47.0,2,2.0,1.0,1895.0,15,1,796.0
3,74.0,3,3.0,3.0,1973.0,8,1,607.7
3,69.79,3,3.0,1.0,1874.0,1,1,523.05
2,59.5,2,2.0,9.0,2020.0,5,0,624.75
6,123.5,5,6.0,4.0,1981.0,4,0,800.0
4,82.96,4,4.0,2.0,1955.0,8,1,710.43
3,62.0,2,2.0,3.0,1974.0,7,0,722.0
5,120.0,5,5.0,5.0,1999.0,4,1,860.0
3,64.17,2,2.0,1.0,1920.0,12,0,695.0
4,89.0,3,3.0,4.0,1981.0,8,0,850.0
2,58.63,2,2.0,1.0,1910.0,15,1,730.0
2,51.84,2,2.0,9.0,2018.0,5,0,862.0
3,80.16,3,3.0,3.0,1976.0,8,1,629.0
3,75.0,3,3.0,6.0,2003.0,13,1,1300.0
2,50.78,1,1.0,2.0,1958.0,8,1,462.1
1,28.0,1,1.0,2.0,1960.0,8,0,300.0
2,57.0,2,2.0,1.0,1900.0,4,0,410.0
2,45.0,2,2.0,1.0,1900.0,14,1,700.0
2,58.4,2,2.0,1.0,1900.0,2,1,540.0
3,65.14,2,2.0,5.0,1999.0,10,0,832.0
4,89.0,3,3.0,1.0,1886.0,2,0,740.0
5,109.35,4,4.0,9.0,2019.0,12,0,1486.0
3,75.0,4,4.0,8.0,2015.0,8,0,675.0
1,38.56,1,1.0,2.0,1962.0,15,1,652.84
1,35.0,2,2.0,1.0,1908.0,1,1,320.0
4,86.0,3,3.0,9.0,2017.0,14,0,990.0
1,36.0,1,1.0,1.0,1907.0,15,1,416.0
1,39.0,2,2.0,5.0,1994.0,12,0,590.0
3,75.0,2,2.0,1.0,1906.0,14,0,840.0
3,64.12,3,3.0,3.0,1980.0,4,1,436.01
