regio1,baseRent
12,337.0
12,340.0
12,340.0
12,340.0
12,340.0
12,340.0
12,340.0
12,340.0
12,340.0
12,340.0
12,340.0
12,342.0
12,345.0
12,345.0
12,348.0
12,349.38
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,350.0
12,355.0
12,355.0
12,356.0
12,358.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,360.0
12,364.0
12,364.0
12,364.4
12,365.0
12,365.0
12,365.0
12,365.0
12,365.0
12,366.0
12,366.0
12,367.22
12,367.36
12,369.82
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,370.0
12,372.0
12,372.0
12,373.41
12,374.0
12,375.0
12,375.0
12,375.0
12,375.0
12,375.0
12,375.0
12,375.03
12,377.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
12,380.0
