livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,baseRent
1,38.56,1,1.0,2.0,1962.0,15,1,539.84
1,35.0,2,2.0,1.0,1908.0,1,1,232.0
4,86.0,3,3.0,9.0,2017.0,14,0,800.0
1,36.0,1,1.0,1.0,1907.0,15,1,330.0
1,39.0,2,2.0,5.0,1994.0,12,0,450.0
3,75.0,2,2.0,1.0,1906.0,14,0,600.0
3,64.12,3,3.0,3.0,1980.0,4,1,301.36
6,140.18,4,4.0,9.0,2019.0,13,0,1615.0
2,59.39,2,2.0,5.0,1997.0,4,1,310.0
4,87.0,3,3.0,5.0,1994.0,7,0,695.0
2,42.5,2,2.0,1.0,1930.0,1,1,255.0
5,111.72,4,4.0,9.0,2016.0,12,1,1665.0
4,93.83,3,3.0,1.0,1900.0,4,1,940.0
1,31.0,2,2.0,2.0,1956.0,8,1,250.0
6,144.11,4,4.0,9.0,2018.0,4,1,1695.0
1,30.0,1,1.0,5.0,1996.0,4,0,250.0
2,45.0,1,1.0,4.0,1987.0,11,0,250.0
4,82.0,2,2.0,1.0,1903.0,11,0,570.0
1,40.0,2,2.0,3.0,1971.0,12,0,700.0
5,105.0,4,4.0,8.0,2015.0,13,0,1050.0
2,52.0,2,2.0,5.0,1991.0,8,0,575.0
5,120.63,3,3.0,9.0,2019.0,1,1,1145.98
3,66.0,3,3.0,1.0,1900.0,1,0,420.0
4,82.0,3,3.5,5.0,1997.0,8,1,675.0
2,44.0,1,1.0,3.0,1980.0,2,0,275.0
2,49.0,2,2.0,2.0,1965.0,14,1,1000.0
7,220.0,4,4.0,5.0,1998.0,15,1,1720.0
3,68.75,3,3.0,3.0,1979.0,2,0,248.0
4,84.0,3,3.0,1.0,1903.0,14,0,585.0
2,46.18,2,2.0,4.0,1981.0,5,0,230.0
4,95.0,3,3.0,9.0,2019.0,14,0,800.0
1,39.87,1,1.0,6.0,2001.0,4,0,239.0
1,33.4,1,1.0,2.0,1969.0,3,0,200.4
6,122.6,4,4.0,9.0,2018.0,12,1,1450.0
3,62.18,2,2.0,9.0,2019.0,14,1,870.0
4,82.0,3,3.0,6.0,2002.0,8,0,640.0
6,129.61,4,4.0,9.0,2019.0,16,1,1360.91
2,55.0,2,2.0,5.0,1999.0,14,0,520.0
3,68.0,3,3.0,1.0,1930.0,4,0,370.0
3,65.0,3,3.0,2.0,1964.0,8,0,550.0
3,61.27,2,2.5,3.0,1976.0,3,0,367.62
1,38.26,2,2.0,2.0,1953.0,3,1,314.0
5,118.0,4,4.0,3.0,1976.0,7,0,580.0
3,66.16,3,3.0,2.0,1965.0,1,0,370.0
1,36.14,1,1.0,3.0,1972.0,1,0,243.0
2,60.1,2,2.5,1.0,1945.0,8,1,389.0
3,61.6,2,2.0,5.0,1996.0,4,0,362.48
1,38.63,1,1.0,5.0,1995.0,4,1,205.0
5,105.0,4,4.0,8.0,2012.0,5,0,1470.0
2,56.0,2,2.0,5.0,1993.0,13,1,590.0
3,80.1,4,4.0,4.0,1982.0,11,0,410.0
2,53.5,1,1.0,9.0,2020.0,8,0,749.0
4,97.8,3,3.0,1.0,1910.0,12,0,930.2
3,72.0,2,2.0,1.0,1925.0,3,0,390.0
3,72.99,3,3.0,2.0,1964.0,8,0,402.0
2,57.9,2,2.5,2.0,1956.0,8,1,263.0
2,60.0,3,3.0,2.0,1965.0,7,0,310.0
3,67.0,2,2.0,1.0,1900.0,8,1,370.0
5,109.0,4,4.0,1.0,1895.0,4,1,501.4
4,92.2,3,3.5,9.0,2018.0,4,1,1200.0
4,87.0,3,3.0,1.0,1900.0,5,0,650.0
2,57.15,3,3.0,3.0,1976.0,1,1,285.75
3,72.0,3,3.0,3.0,1972.0,8,0,400.0
3,66.0,2,2.0,3.0,1971.0,11,0,600.0
1,31.0,1,1.0,4.0,1983.0,12,0,525.0
3,76.5,3,3.0,1.0,1898.0,1,0,420.0
3,74.19,3,3.0,2.0,1953.0,10,0,480.0
2,60.0,3,3.0,2.0,1970.0,8,1,540.0
2,49.0,2,2.0,1.0,1900.0,10,0,417.0
5,110.0,3,3.0,6.0,2004.0,13,0,1000.0
4,86.0,3,3.5,2.0,1963.0,6,1,550.0
3,63.0,2,2.0,5.0,1993.0,7,0,380.0
3,80.0,2,2.0,4.0,1989.0,13,0,520.0
6,150.0,5,5.0,1.0,1908.0,8,1,980.0
3,73.77,3,3.0,2.0,1959.0,10,0,516.0
5,105.0,3,3.5,9.0,2020.0,8,1,888.0
2,59.17,3,3.0,4.0,1983.0,5,0,285.0
1,36.41,1,1.0,3.0,1973.0,8,1,206.0
4,94.0,3,3.0,2.0,1963.0,8,1,700.0
3,61.1,2,2.0,2.0,1960.0,8,1,331.0
3,75.0,2,2.0,3.0,1975.0,12,0,955.0
4,99.0,3,3.5,1.0,1900.0,12,0,550.0
1,31.0,1,1.0,2.0,1959.0,13,1,1500.0
2,55.0,2,2.0,5.0,1995.0,14,0,800.0
4,82.0,3,3.0,5.0,1995.0,7,0,600.0
3,62.51,3,3.0,2.0,1956.0,8,1,345.0
2,42.19,1,1.0,4.0,1982.0,5,0,220.0
3,79.0,4,4.0,2.0,1958.0,8,1,465.0
4,98.0,3,3.0,1.0,1900.0,12,1,950.0
5,115.84,4,4.0,9.0,2017.0,13,1,1450.0
2,46.96,2,2.0,2.0,1962.0,4,1,289.0
1,38.86,1,1.0,5.0,1998.0,4,0,180.0
4,100.0,3,3.0,5.0,1992.0,14,0,750.0
6,147.17,5,6.0,6.0,2001.0,15,1,1618.87
3,69.03,2,2.0,5.0,1998.0,4,0,390.0
1,36.5,1,1.0,1.0,1935.0,4,1,180.0
3,80.0,3,3.0,4.0,1984.0,12,0,780.0
2,52.8,3,3.0,2.0,1955.0,8,0,300.0
5,105.0,4,4.0,1.0,1905.0,4,0,490.0
4,89.0,3,3.0,5.0,1993.0,12,0,1100.0
3,61.0,3,3.0,2.0,1970.0,1,1,340.0
3,77.0,2,2.0,1.0,1900.0,8,0,390.0
4,82.94,2,2.5,1.0,1870.0,3,0,495.0
4,88.0,4,4.0,2.0,1959.0,8,1,785.0
3,69.0,3,3.0,1.0,1905.0,4,1,345.0
2,53.92,2,2.0,1.0,1910.0,15,1,1015.0
2,47.0,2,2.0,5.0,2000.0,4,0,260.0
1,35.0,2,2.0,2.0,1952.0,8,1,298.0
1,40.21,2,2.0,1.0,1909.0,4,1,261.37
1,40.52,2,2.0,1.0,1935.0,10,1,300.0
2,57.41,2,2.0,1.0,1930.0,7,1,483.61
2,44.04,2,2.0,1.0,1924.0,1,0,330.0
3,78.99,3,3.0,5.0,1998.0,4,0,475.0
4,81.0,3,3.0,5.0,1994.0,10,0,725.0
3,66.76,3,3.0,2.0,1960.0,8,1,499.0
3,80.3,3,3.0,4.0,1981.0,4,1,449.68
4,85.0,3,3.0,5.0,1991.0,13,0,820.0
4,100.0,4,4.0,1.0,1935.0,4,0,555.0
4,91.27,4,4.0,1.0,1880.0,1,0,447.22
5,106.87,3,3.0,9.0,2017.0,11,0,1020.0
2,51.0,2,2.0,1.0,1937.0,16,1,990.0
6,125.46,3,3.0,5.0,1998.0,15,1,1990.0
2,54.2,2,2.0,8.0,2015.0,4,1,575.0
5,119.0,4,4.0,9.0,2019.0,12,0,1523.2
2,48.0,2,2.0,5.0,1998.0,4,0,240.0
1,31.52,1,1.0,5.0,1997.0,4,1,255.0
3,65.0,2,2.0,5.0,1992.0,14,0,650.0
3,68.33,2,2.0,1.0,1900.0,4,1,435.0
4,85.0,3,3.0,5.0,2000.0,14,0,490.0
3,61.9,2,2.0,5.0,1996.0,8,1,520.0
6,129.0,5,5.0,1.0,1910.0,4,1,579.0
2,58.0,2,2.0,1.0,1894.0,4,0,240.0
7,157.07,4,4.0,9.0,2018.0,12,0,1965.0
1,40.0,1,1.0,4.0,1990.0,12,1,460.0
3,71.4,3,3.0,4.0,1983.0,1,1,360.0
1,38.5,1,1.5,1.0,1895.0,5,0,289.0
3,69.36,3,3.0,2.0,1956.0,1,0,319.2
3,79.99,4,4.0,3.0,1972.0,13,0,476.0
3,75.95,3,3.5,3.0,1971.0,8,1,471.0
3,61.6,3,3.0,3.0,1972.0,2,0,246.4
4,92.39,3,3.0,5.0,1992.0,8,1,850.0
5,115.0,3,3.5,1.0,1885.0,16,1,1990.0
3,75.0,3,3.0,4.0,1984.0,8,1,495.0
2,49.08,2,2.0,1.0,1936.0,5,0,295.0
3,62.76,2,2.0,4.0,1983.0,14,1,980.0
3,70.0,3,3.0,3.0,1977.0,8,0,379.0
3,73.58,2,2.5,3.0,1980.0,7,0,560.0
2,60.0,2,2.0,2.0,1968.0,13,1,1570.0
4,85.0,3,3.0,4.0,1981.0,7,0,550.0
4,87.0,3,3.0,2.0,1965.0,11,0,410.0
3,80.08,3,3.0,8.0,2014.0,8,0,400.0
2,42.55,1,1.0,9.0,2019.0,8,1,950.0
7,184.0,5,5.0,1.0,1700.0,13,0,1450.0
3,78.45,2,2.5,8.0,2015.0,8,0,663.0
5,105.0,4,4.0,4.0,1989.0,14,0,1700.0
3,63.0,2,2.0,2.0,1960.0,11,0,360.0
2,54.28,2,2.0,5.0,1998.0,4,1,380.0
6,146.43,4,4.0,5.0,1997.0,15,1,2196.0
2,59.0,2,2.0,4.0,1984.0,8,1,420.0
4,90.77,4,4.0,2.0,1960.0,7,0,540.0
4,90.75,3,3.0,8.0,2012.0,16,1,1270.5
3,77.0,2,2.0,3.0,1977.0,8,0,500.0
3,67.32,3,3.0,2.0,1954.0,13,0,339.0
2,52.54,2,2.5,4.0,1984.0,8,1,370.0
2,41.0,1,1.0,2.0,1967.0,8,1,740.0
1,38.15,2,2.0,2.0,1965.0,4,1,300.0
1,33.02,1,1.0,1.0,1910.0,8,1,190.0
5,118.0,4,4.0,9.0,2016.0,13,1,930.0
4,100.19,3,3.5,3.0,1975.0,8,0,601.14
1,36.0,1,1.0,4.0,1983.0,8,1,360.0
3,61.23,3,3.0,4.0,1981.0,1,0,270.0
3,71.79,2,2.0,2.0,1952.0,8,1,511.86
2,55.92,3,3.0,3.0,1972.0,1,0,210.0
